schema_version,summary_kind,analysis_model,method,amplitude_numerator,amplitude_denominator,amplitude,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,evaluation_schedule,shots_per_circuit,n,n_requested,n_failed,mean_estimate,bias,rmse,sample_std,sample_variance,mean_absolute_error,empirical_ci_coverage,mean_ci_width,confidence_level,bootstrap_replicates,bootstrap_confidence_level,bootstrap_base_seed,bootstrap_group_seed,bias_bootstrap_ci_low,bias_bootstrap_ci_high,rmse_bootstrap_ci_low,rmse_bootstrap_ci_high,sample_std_bootstrap_ci_low,sample_std_bootstrap_ci_high,full_range_loglog_rmse_slope,slope_status,slope_point_count,slope_min_logical_lookup_oracle_calls,slope_max_logical_lookup_oracle_calls,full_range_loglog_rmse_slope_bootstrap_ci_low,full_range_loglog_rmse_slope_bootstrap_ci_high,slope_bootstrap_valid_resamples,slope_bootstrap_joint_replicates,slope_bootstrap_seed
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.4910116195678711,-0.008988380432128906,0.25271464493583984,0.2530494689314701,0.06403403372649907,0.17882823944091797,0.71484375,0.36544179916381836,0.95,2000,0.95,20260801,460930354,-0.040175795555114746,0.020517182350158678,0.2320771528483881,0.2725479187278977,0.2317609909109485,0.272151279287819,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.5002045631408691,0.00020456314086914062,0.10843483667072887,0.10864705262379548,0.011804182043837786,0.04086160659790039,0.91796875,0.1456308364868164,0.95,2000,0.95,20260801,3720081060,-0.013498413562774658,0.013183438777923556,0.08563463275844836,0.1277942571998465,0.08535874904355832,0.12781069391824096,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.5031657218933105,0.003165721893310547,0.03226872687722003,0.03217597011214707,0.0010352930526577812,0.00849771499633789,0.9453125,0.03659391403198242,0.95,2000,0.95,20260801,2438731929,-0.00028519630432128896,0.007572269439697265,0.006679416604827006,0.04889702811742873,0.006681720947451532,0.04836560051417825,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.5007648468017578,0.0007648468017578125,0.004736766598255481,0.004683765703482176,2.193766116511588e-05,0.00376129150390625,0.9453125,0.01808309555053711,0.95,2000,0.95,20260801,4167418856,0.00019919872283935569,0.0013142466545104977,0.004318542248001063,0.005136252382209734,0.004264079724098901,0.005065988820596437,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.783050537109375,-0.091949462890625,0.27535415616770914,0.2600565032404208,0.06762938487763498,0.11101531982421875,0.92578125,0.34589338302612305,0.95,2000,0.95,20260801,955078783,-0.12390741109848022,-0.06170985698699951,0.2284950356565742,0.319489056757434,0.2195759239507594,0.2949775579399496,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.7598600387573242,-0.11513996124267578,0.29986493494701755,0.277420985006955,0.07696240292222915,0.1254110336303711,0.88671875,0.3145294189453125,0.95,2000,0.95,20260801,996624436,-0.14878472089767455,-0.08267340660095215,0.2523403060274702,0.3423981044756663,0.23945075159574702,0.3096074553467299,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.857081413269043,-0.01791858673095703,0.08188529881648951,0.08005724328055061,0.006409162201681266,0.02118396759033203,0.96875,0.11549520492553711,0.95,2000,0.95,20260801,1882252244,-0.028142154216766357,-0.009401869773864749,0.05307359569550166,0.10794113177064465,0.05237539905999688,0.10476361227469763,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.8713431358337402,-0.0036568641662597656,0.022920132273605096,0.022670851184512047,0.0005139674934302914,0.006013393402099609,0.984375,0.03597831726074219,0.95,2000,0.95,20260801,1821295275,-0.006919431686401367,-0.0017084717750549317,0.005954966271360836,0.03873496814095903,0.005581436041828641,0.03825988010435145,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.8730912208557129,-0.0019087791442871094,0.005427824951341311,0.005091079682657908,2.5919092335172142e-05,0.004042148590087891,0.9375,0.023530006408691406,0.95,2000,0.95,20260801,2831177160,-0.002546858787536621,-0.0013055562973022462,0.004886855744574922,0.005994169410359693,0.004573047274877505,0.005585380199471343,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,56,64,0.875,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.8738880157470703,-0.0011119842529296875,0.004407611559621991,0.004273390468490803,1.826186609618804e-05,0.003360748291015625,0.953125,0.015991687774658203,0.95,2000,0.95,20260801,2144967615,-0.0016327500343322754,-0.0005955576896667481,0.0038946827483238877,0.004931467932597861,0.0038314890387743145,0.004735954501087956,-1.1763470246330483,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2687322995647012,-1.117754076895414,2000,256,1165136396
